PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1984,12.0,-71.25,8.93,8.3,1.88,11.61,12.69,35.07,107.64,41.83,100.75,136.79,65.66,17.84,548.99
PRECTOTCORR_SUM,1984,12.0,-71.875,7.07,6.71,1.88,11.32,13.87,40.01,134.92,59.64,102.88,203.51,58.91,9.79,650.51
PRECTOTCORR_SUM,1984,12.0,-72.5,5.63,9.29,3.37,15.52,25.04,49.98,144.56,60.82,122.33,169.17,83.44,7.77,696.92
PRECTOTCORR_SUM,1984,12.0,-73.125,8.11,2.5,0.46,8.11,7.03,43.25,175.53,85.03,90.79,289.41,36.86,8.71,755.79
PRECTOTCORR_SUM,1984,12.0,-73.75,5.71,1.94,0.38,6.14,6.04,46.28,196.73,86.67,79.53,259.98,31.43,6.75,727.58
PRECTOTCORR_SUM,1984,12.0,-74.375,3.76,1.75,0.34,5.37,6.49,48.31,207.14,86.3,73.33,234.97,32.45,5.29,705.5
PRECTOTCORR_SUM,1984,12.0,-75.0,4.67,1.38,0.39,3.26,5.42,38.41,157.16,88.06,70.11,182.27,26.61,3.19,580.93
PRECTOTCORR_SUM,1984,12.0,-75.625,9.27,1.19,0.49,1.23,4.39,27.28,99.52,93.66,76.0,138.15,20.47,1.6,473.25
PRECTOTCORR_SUM,1984,12.0,-76.25,12.69,1.35,0.54,1.15,4.77,29.87,105.41,99.55,83.97,148.3,19.75,1.48,508.83
PRECTOTCORR_SUM,1984,12.0,-76.875,14.91,1.66,0.63,1.46,7.2,34.76,110.96,105.74,90.49,157.35,24.01,2.21,551.38
PRECTOTCORR_SUM,1984,12.5,-71.25,8.71,10.7,1.95,8.47,11.25,27.93,85.71,34.99,90.11,117.68,64.48,18.4,480.38
PRECTOTCORR_SUM,1984,12.5,-71.875,6.11,8.39,2.17,9.05,14.38,33.06,103.36,47.14,99.77,146.95,62.25,11.91,544.54
PRECTOTCORR_SUM,1984,12.5,-72.5,5.3,9.26,2.84,13.06,21.83,44.21,122.15,53.34,115.63,147.24,78.32,9.73,622.91
